no,subsidy,target,contents,from,contact 1,tell 1,contact 2,tell 2,details_name 1,details_link 1,details_name 2,details_link 2,sample_link ,type of business
11,【減免・猶予】後期高齢者医療保険料の減免・猶予,（１）新型コロナウイルス感染症により、世帯の主たる生計維持者が死亡又は重篤な傷病を負ったとき<br>（２）新型コロナウイルス感染症の影響により、世帯の主たる生計維持者の収入減少が見込まれる被保険者,後期高齢者医療保険料の全額又は一部を減免・猶予,5月28日から申請受付,会津若松市国保年金課<br>※土日祝を除く、午前8時30分から午後5時15分,0242-39-1244,,,(市HP)新型コロナウイルス感染症の流行に伴う後期高齢者医療保険料の減免について,https://www.city.aizuwakamatsu.fukushima.jp/docs/2020061000021/,,,,
12,【減免】水道基本料金の減免・家計改善支援　★市独自,以下のいずれかの貸付利用者または、受給対象者<br>（１）緊急小口資金（特例）<br>（２）総合支援資金（特例）<br>（３）児童扶養手当<br>（４）ひとり親家庭医療費<br>（５）住居確保給付金,対象者の居住する家庭の水道基本料金６か月分を減免,6月1日から申請受付,会津若松市上下水道料金センター,0242-22-6172,,,(市HP)水道基本料金の減免について,https://www.city.aizuwakamatsu.fukushima.jp/docs/2020052900026/,,,,
13,【猶予】水道料金等の支払い猶予　★市独自,新型コロナウイルス感染症の影響で支払いが困難,個人・法人を問わず水道料金の支払いを最長4か月猶予,4月6日から申請受付,会津若松市上下水道料金センター,0242-22-6172,,,(市HP)水道料金・下水道使用料等のお支払いを猶予,https://www.city.aizuwakamatsu.fukushima.jp/docs/2020033100018/,,,,
14,【猶予】市税の徴収猶予の特例制度,収入が前年同期比おおむね20％以上減少した方,申請により最長１年間の市税徴収の猶予,5月1日から申請受付,会津若松市納税課,0242-39-1226,国保年金課,0242-29-1248,(市HP)市税の徴収猶予の特例制度,https://www.city.aizuwakamatsu.fukushima.jp/docs/2020050800014/,(外部HP)eLTAXオンライン申請,https://www.eltax.lta.go.jp/news/01689,,
15,【給付】新型コロナウイルス感染症対応休業支援金・給付金,令和2年4月1日から12月31日までの間に事業主の指示を受けて休業（休業手当の支払なし）した中小企業の労働者,"【休業前の１日当たり平均賃金（11,000円が上限）×80％】×【（各月の日数（30日又は31日）－ 就労した又は労働者の事情で休んだ日数（休業実績）】",申請開始日は休業した期間の翌月初日です。例：10月の休業の場合は11月1日から申請可能。,厚生労働省新型コロナウイルス感染症対応休業支援金・給付金コールセンター,0120-221-276,,,(厚生労働省HP)新型コロナウイルス感染症対応休業支援金・給付金,https://www.mhlw.go.jp/stf/kyugyoshienkin.html,,,,
16,【給付】持続化給付金,※オンライン申請のみ<br>新型コロナウイルス感染症の影響で売り上げが半減した事業主,法人上限200万円、個人事業主上限100万円を給付<br>なお、5/21(木)から、オンライン申請に関するサポート会場(完全予約制)が開設されます。<br>①自動受付(24時間)　0120-835-130<br>※会津若松市内の会場コード「0702」と入力<br>②オペレーター対応0570-077-866<br>※平日・休日午前9時～午後6時<br>※予約用HP(外部サイト)https://www.jizokuka-kyufu.jp/support/,5月1日から申請受付,持続化給付金事業コールセンター<br>※午前8時30分から午後7時（5、6月は毎日対応。7～12月は土曜日を除く）,0120-115-570,,,(経済産業省)持続化給付金 ,https://www.meti.go.jp/covid-19/jizokuka-kyufukin.html,,,,
17,【給付】家賃支援給付金,地代または家賃を支払っている事業者で、新型コロナウイルス感染症の影響で、売り上げが半減した、または連続する3か月の売り上げが30％以上減少している事業者,支払っている賃料の6か月分（ただし、支払っている賃料により月額賃料の2/3などの規定あり） 上限額：法人600万円、個人事業主300万円,7月14日申請受付,家賃支援給付金コールセンター※毎日午前8時30分から午後7時まで,0120-653-930,,,(経済産業省)家賃支援給付金に関するお知らせ,https://www.meti.go.jp/covid-19/yachin-kyufu/index.html,,,,
18,【助成】雇用調整助成金,従業員に休業してもらう事業主,"助成率は企業規模・雇用状況で変動、休業等助成一人１日8,330円まで",4月1日から6月30日,ハローワーク会津若松,0242-26-3333,,,(厚生労働省HP)雇用調整助成金,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/koyou_roudou/koyou/kyufukin/pageL07.html,,,,
19,【助成】小学校休業等対応助成金（労働者雇用者向け）,子供がいる従業員,"小学校等休業で労働者が有給休暇の場合、8,330円を上限に賃相当額を助成",2月27日から6月30日※申請は9月30日から,学校休業等助成金・支援金・雇用調整助成金コールセンター<br>※平日・休日午前9時から午後9時まで,0120-60-3999,,,(厚生労働省HP)小学校休業等対応助成金,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/koyou_roudou/koyou/kyufukin/pageL07_00002.html,,,https://www.mhlw.go.jp/content/000636605.pdf,
20,【助成】小学校休業等対応支援金(フリーランス向け),子供がいるフリーランス,"小学校等休業で休業したフリーランスの場合、1日あたり4,100円（定額）を助成",2月27日から6月30日※申請は9月30日から,学校休業等助成金・支援金・雇用調整助成金コールセンター<br>※平日・休日午前9時から午後9時まで,0120-60-3999,,,(厚生労働省HP)小学校休業等対応助成金,https://www.mhlw.go.jp/stf/newpage_10231.html,,,https://www.mhlw.go.jp/content/11909000/000637032.pdf,
21,【猶予】市場使用料の支払い猶予　★市独自,市公設地方卸売市場内事業者（19事業者）,市場使用料の支払いを４か月間猶予,5月分から8月分まで,会津若松市農政課,0242-39-1253,,,(市HP)市場使用料の支払い猶予,https://www.city.aizuwakamatsu.fukushima.jp/docs/2008070800023/,,,,
22,【融資】新型コロナウィルス対策特別資金（実質無利子型）,資金繰りのために融資を受けたい事業主,資金繰りのために融資を受けたい事業主,5月1日から,福島商工労働部<br>※または、県内の金融機関へお問い合わせください。,024-521-7288,,,(県HP)新型コロナウィルス対策特別資金,https://www.pref.fukushima.lg.jp/sec/32011b/covid19-01.html,,,,
23,【融資】新型コロナウィルス対策特別資金信用保証料補助金（実質無利子型）信用保証料補助金　★市独自,新型コロナウイルス対策特別資金（実質無利子型）を利用された事業主のうち、信用保証料を支払った方,"支払った信用保証料の全額（1,000円未満の端数切捨て）を助成",5月22日から申請受付<br>※5月22日以前に同資金の融資を受けられた方も対象となる予定です。,会津若松市商工課,0242-39-1252,,,(市HP),https://www.city.aizuwakamatsu.fukushima.jp/docs/2020052100013/,,,,
24,【融資】新型コロナウィルス対策特別貸付（無利子・無担保融資）,資金繰りのために融資を受けたい事業主,"売上が前年同月比5%以上減少、融資限度額別枠6,000万円",3月13日から,日本政策金融公庫事業資金相談ダイヤル,0120-154-505,,,(外部HP)日本政策金融公庫,https://www.jfc.go.jp/n/finance/search/covid_19_m.html,,,,
25,【融資】マル経収支の金利引下げ,"資金繰りのために融資を受けたい事業主<br>※マル経融資の借入には、商工会議所等の推薦が必要
","売上が前年同月比5%以上の減少、融資限度額別枠1,000万円",3月13日から,日本政策金融公庫事業資金相談ダイヤル,0120-154-505,,,(外部HP)日本政策金融公庫,https://www.jfc.go.jp/n/finance/search/kaizen_m.html,(外部HP)会津若松商工会議所,http://www.aizu-cci.or.jp/support/other/sub2020-08/,,
26,【融資】会津若松市中小企業未来資金保証融資制度　★市独自,資金繰りのために融資を受けたい事業主,"売上減少要件なし、融資限度額2,000万円",4月1日から,会津若松市商工課,0242-39-1252,,,(市HP)市融資制度,https://www.city.aizuwakamatsu.fukushima.jp/docs/2007080801228/,,,,
