施設名,住所,休館・利用休止期間（始）,休館・利用休止期間（終）,開館・利用開始日,問い合わせ先（部署名）,問い合わせ先（電話番号）,備考
豊平館,北海道札幌市中央区中島公園1番20号,2020-4-14,2020-5-31,2020-6-1,豊平館,011-211-1951,タブレット端末、タッチパネル等、一部展示等の利用制限あり。ボランティアガイドによるツアーは当面休止。
旧永山武四郎邸及び旧三菱鉱業寮,北海道札幌市中央区北2条東6丁目2番地,2020-4-14,2020-5-31,2020-6-1,旧永山武四郎邸,011-232-0450,タブレット端末、タッチパネル式のデジタルサイネージ等、一部展示等の利用制限あり。
埋蔵文化財センター,北海道札幌市中央区南22条西13丁目1-1,2020-4-14,2020-5-31,2020-6-1,埋蔵文化財センター,011-512-5430,展示に一部制限あり。団体利用休止。
大通情報ステーション,北海道札幌市中央区大通西4丁目地下　地下鉄南北線大通駅コンコース横（出口5横）,2020-4-14,2020-5-31,2020-6-1,まちづくり政策局都心まちづくり課,011-211-2692,
中央老人福祉センター,北海道札幌市中央区大通西19丁目 札幌市社会福祉総合センター2階,2020-3-2,未定,-,中央老人福祉センター,011-614-1001,ロビー開放、生活相談事業、健康相談事業等のみ一部再開します。教養講座、サークル活動、囲碁、卓球、浴室、機能回復訓練室等は引き続き休止します。
若者支援総合センター,北海道札幌市中央区南1条東2丁目　大通バスセンタービル2号館1、2階,2020-3-2,2020-5-31,2020-6-1,若者支援総合センター,011-223-4420,貸室は利用人数上限を設定
まちなかキッズサロンおおどりんこ,北海道札幌市中央区南1条西4丁目エスワンビル2F,2020-3-2,2020-6-14,-,まちなかキッズサロンおおどりんこ,011-211-5891,6月15日から開館。利用人数等一部制限あり。
社会福祉総合センター,北海道札幌市中央区大通西19丁目1-1,2020-4-14,2020-5-31,2020-6-1,社会福祉総合センター,011-614-3345,貸会議室は利用人数を制限する（100人以下かつ各室定員の50％以下）
札幌市天文台,北海道札幌市中央区中島公園1番17号,2020-4-14,2020-6-1,2020-6-2,青少年科学館,011-892-5004,6月1日は通常休館日
円山総合運動場（陸上競技場、球場、庭球場、補助競技場含む）,北海道札幌市中央区宮ヶ丘3番地,-,2020-5-31,2020-6-1,円山総合運動場,011-641-3015,陸上競技場は「利用時間割」等を施設のHPで御確認いただくか、左記の電話番号にお問い合わせの上ご利用ください。
中島公園庭球場,北海道札幌市中央区南15条西4丁目1-36,-,2020-5-31,2020-6-1,中島公園庭球場（札幌テニス協会）,011-531-5163,
宮の森ジャンプ競技場,北海道札幌市中央区宮の森1条18丁目,-,2020-5-31,2020-6-1,大倉山総合案内所,011-641-8585,
荒井山シャンツェ,北海道札幌市中央区宮の森902番地,-,2020-5-31,2020-6-1,大倉山総合案内所,011-641-8585,
さっぽろテレビ塔,北海道札幌市中央区大通西一丁目,2020-4-14,2020-5-31,2020-6-1,さっぽろテレビ塔,011-241-1131,※関係団体の所管する施設　営業再開は1～3階。展望台の営業再開は未定。
旧札幌控訴院（札幌市資料館）※おおば比呂司記念室、SIAFラウンジを含む,北海道札幌市中央区大通西13丁目,2020-4-14,2020-5-31,2020-6-2,札幌市資料館,011-251-0731,6月1日（月曜日）は通常休館日。利用人数に一部制限あり。
札幌市民交流プラザ,北海道札幌市中央区北1条西1丁目,2020-4-14,2020-5-31,2020-6-1,札幌市民交流プラザ,011-271-1000,（貸館）新規利用申込の受付は6月9日再開予定。共用部を含めて利用人数など一部制限あり。
札幌コンサートホール,北海道札幌市中央区中島公園1番15号,2020-4-14,2020-5-31,2020-6-1,札幌コンサートホール,011-520-2000,利用人数など一部制限あり。
札幌市教育文化会館,北海道札幌市中央区北1条西13丁目,2020-4-14,2020-5-31,2020-6-1,札幌市教育文化会館,011-271-5821,（貸館）新規利用申込の受付は6月9日再開予定。利用人数など一部制限あり。
札幌市民ギャラリー,北海道札幌市中央区南2条東6丁目,2020-4-14,2020-6-1,2020-6-2,札幌市民ギャラリー,011-271-5471,6月1日（月曜日）は通常休館日。利用人数など一部制限あり。
あけぼのアート＆コミュニティセンター,北海道札幌市中央区南11条西9丁目4-1,2020-4-14,2020-6-1,2020-6-2,あけぼのアート＆コミュニティセンター,011-513-6181,6月1日（月曜日）は通常休館日。利用人数に一部制限あり。
本郷新記念札幌彫刻美術館,北海道札幌市中央区宮の森4条12丁目1-41,2020-4-14,2020-5-25,2020-5-26,本郷新記念札幌彫刻美術館,011-642-5709,（貸館）新規利用申込の受付は6月2日再開。利用人数など一部制限あり。
カナモトホール（札幌市民ホール）,北海道札幌市中央区北1条西1丁目,2020-4-14,2020-5-31,2020-6-1,カナモトホール,011-252-3700,貸ホール・貸室の利用人数（100人以下かつ定員の50％以下）。人数上限は段階的に緩和予定。
市民活動プラザ星園（貸室）,北海道札幌市中央区南8条西2丁目5-74,2020-4-14,2020-5-31,2020-6-1,市民活動プラザ星園,011-511-1315,貸室利用は定員の半分以下
札幌市水道記念館,北海道札幌市中央区伏見4丁目,2020-4-11,2020-6-1,2020-6-2,札幌市水道記念館,011-561-8928,6月1日は通常休館日。展示物、展示コーナーの一部のみ開放。団体の受け入れ、藻岩浄水場見学は当面休止。
旭山記念公園　森の家・レストハウス,北海道札幌市中央区界川4丁目,2020-4-14,2020-5-31,2020-6-1,旭山記念公園,011-200-0311,森の家は月曜日～木曜日は休館のため、6月5日から開館。
札幌市公文書館,北海道札幌市中央区南8条西2丁目,2020-4-14,2020-6-1,2020-6-11,札幌市公文書館,011-521-0205,6月11日以降、閲覧室の利用時間を当面の間、午前10時から午後4時までとさせていただきます。また、閲覧室をご利用される方はおおよその来館日時を事前に当館へご連絡くださいますようお願いいたします。
北海道知事公館,北海道札幌市中央区北1条西16丁目,2020-4-14,2020-5-25,2020-5-26,北海道知事公館,011-611-4221,※北海道の所管する施設
アイヌ総合センター,北海道札幌市中央区北2条西7丁目かでる2・7,2020-4-14,2020-5-31,2020-6-1,アイヌ総合センター,011-221-0462,※北海道の所管する施設
近代美術館,北海道札幌市中央区北1条西17丁目,2020-4-14,2020-5-25,2020-5-26,北海道立近代美術館,011-644-6881,※北海道の所管する施設
三岸好太郎美術館,北海道札幌市中央区北2条西15丁目,2020-4-14,2020-5-25,2020-5-26,三岸好太郎美術館,011-644-8901,※北海道の所管する施設
文学館,北海道札幌市中央区中島公園1-4,2020-4-14,2020-5-25,2020-5-26,文学館,011-511-7655,※北海道の所管する施設
市民活動促進センター,北海道札幌市中央区北2条西7丁目かでる2・7,2020-4-14,2020-5-31,2020-6-1,市民活動促進センター,011-261-4440,※北海道の所管する施設
女性プラザ,北海道札幌市中央区北2条西7丁目かでる2・7,2020-4-14,2020-5-31,2020-6-1,女性プラザ,011-251-6329,※北海道の所管する施設
消費生活センター,北海道札幌市北3条西7丁目道庁別館西棟,2020-4-14,当面の間,2020-6-1,消費生活センター,（代表）011-221-0110、（相談専用）050-7505-0999,※北海道の所管する施設
豊平川緑地駐車場,北海道札幌市豊平川堤外地,-,2020-5-31,2020-6-1,（米里地区）川下公園：011-879-5311、（上流地区）中島公園：011-511-3924,011-879-5311、011-511-3924,※所在地は、東区、白石区、豊平区、南区にまたがる
札幌もいわ山ロープウェイ,北海道札幌市中央区伏見5丁目3番7号,,2020-5-31,2020-6-1,札幌もいわ山ロープウェイ山麓事務所,011-561-8177,※関係団体の所管する施設　6月12日までは営業時間を短縮。
札幌市下水道科学館,北海道札幌市北区麻生町8丁目,2020-4-14,2020-5-31,2020-6-1,札幌市下水道科学館,011-717-0046,一時展示は利用休止
北区体育館,北海道札幌市北区新琴似8条2丁目,2020-4-14,2020-5-31,2020-6-1,北区体育館,011-763-1522,一般開放は、6月15日から再開※「利用時間割」等を施設のHPで御確認いただくか、左記の電話番号にお問い合わせの上ご利用ください。
札幌サンプラザ温水プール,北海道札幌市北区北24条西5丁目,2020-4-14,未定,未定,札幌サンプラザ,011-717-2711,緊急メンテナンスのため、6月1日以降も当面の間休止
札幌市環境プラザ,北海道札幌市北区北8条西3丁目札幌エルプラザ2階,2020-4-14,2020-5-31,2020-6-1,札幌市環境プラザ,011-728-1667,イベント、見学ツアー等は当面禁止
百合が原公園みどりのセンター、リリートレイン駅舎、世界の庭園,北海道札幌市北区百合が原公園,2020-4-14,2020-5-31,2020-6-1,百合が原公園,011-772-4722,みどりのセンターについては6月1日は通常休館日のため、6月2日から開館。
札幌エルプラザ情報センター,北海道札幌市北区北8条西3丁目 札幌エルプラザ1階,2020-3-1,未定,-,札幌市男女共同参画センター総合案内,011-728-1222,
札幌市消費者センター,北海道札幌市北区北8条西3丁目 札幌エルプラザ2階,2020-4-14,2020-5-31,2020-6-1,市民文化局消費生活課,011-211-2245,来所相談は当面の間休止中。
札幌市市民活動サポートセンター,北海道札幌市北区北8条西3丁目　札幌エルプラザ2階,2020-4-14,2020-5-31,2020-6-1,札幌市市民活動サポートセンター,011-728-5888,機器などの利用に一部制限あり
札幌市男女共同参画センター,北海道札幌市,2020-4-14,2020-5-31,2020-6-1,札幌市男女共同参画センター,011-728-1222,貸室収容人数に制限あり　物品等について一部貸出制限あり
屯田郷土資料館,北海道札幌市北区屯田5条6丁目屯田地区センター内,2020-4-14,2020-5-31,2020-6-2,屯田地区センター,011-772-1811,6月1日（月曜日）は通常休館日
北老人福祉センター,北海道札幌市北区北39条西5丁目3-5　札幌市麻生総合センター内,2020-3-2,2020-6-18,2020-6-19,北老人福祉センター,011-757-1000,ロビー開放、生活相談事業、健康相談事業等のみ一部再開します。教養講座、サークル活動、囲碁、卓球、浴室、機能回復訓練室等は引き続き休止します。
麻生球場（庭球場含む）,北海道札幌市北区麻生町7丁目,-,2020-5-31,2020-6-1,麻生球場,011-736-1461,
清華亭,北海道札幌市北区北7条西7丁目,2020-4-14,2020-5-31,2020-6-1,清華亭,011-746-1088,
新琴似屯田兵中隊本部,北海道札幌市北区新琴似8条3丁目1-8,2020-4-14,2020-6-1,2020-6-2,新琴似まちづくりセンター,011-761-4205,6月1日は通常休館日
北海道さっぽろ観光案内所,北海道札幌市北区北6条西4丁目JR札幌駅西コンコース北口,2020-4-18,2020-5-31,2020-6-1,北海道さっぽろ観光案内所,011-213-5088,営業時間は10時00分～17時30分（通常8時30分～20時00分までのところ、時間を短縮）
北地区リサイクルセンター,北海道札幌市北区あいの里2条6丁目1-10（廃棄物空気輸送センター内）,2020-5-7,2020-5-31,2020-6-1,札幌市リユースプラザ,011-375-1133,6月1日は通常休館日だが開館する。一部資源物（古着・古布）の受入は当面の間、停止する。
札幌市こどもの劇場やまびこ座,北海道札幌市東区北27条東15丁目,2020-4-14,2020-6-1,2020-6-2,札幌市こどもの劇場やまびこ座,011-723-5911,6月1日は通常休館日。当面、7月上旬公演実施に向けた準備等の利用に限定。
東健康づくりセンター,北海道札幌市東区北10条東7丁目 東保健センター3階,2020-2-28,2020-6-15,2020-6-16,保健福祉局保健所健康企画課,011-622-5153,6月16日からトレーニング室を再開（教室は引き続き休止）
東区体育館,北海道札幌市東区北27条東14丁目,2020-4-14,2020-12-28,-,東区体育館,011-751-5250,改修工事のため12月28日まで休館
スポーツ交流施設（つどーむ）（庭球場・球技場・パークゴルフ場を含む）,北海道札幌市東区栄町885番地1,2020-4-14,2020-5-31,2020-6-1,スポーツ交流施設（つどーむ）,011-784-2106,改修工事のため令和3年1月31日まで屋内のみ利用休止
東温水プール,北海道札幌市東区北16条東16丁目,2020-4-14,2020-5-31,2020-6-1,東温水プール,011-785-6812,一般開放は、6月15日から再開予定※「コース予定表」等を施設のHPで御確認いただくか、左記の電話番号にお問い合わせの上ご利用ください。
美香保体育館（公園野球場含む）,北海道札幌市東区北22条東5丁目,2020-4-14,2020-5-31,2020-6-1,美香保体育館,011-741-1972,一般開放は、6月16日から再開予定※「コース予定表」等を施設のHPで御確認いただくか、左記の電話番号にお問い合わせの上ご利用ください。
モエレ沼公園ガラスのピラミッド、フィールドハウス,北海道札幌市東区モエレ沼公園,2020-4-14,2020-5-31,2020-6-1,モエレ沼公園,011-790-1231,ガラスのピラミッドについては6月1日は通常休館日のため、6月2日から開館。
東老人福祉センター,北海道札幌市東区北41条東14丁目1-1,2020-3-2,2020-6-18,2020-6-19,東老人福祉センター,011-741-1000,ロビー開放、生活相談事業、健康相談事業等のみ一部再開します。教養講座、サークル活動、囲碁、卓球、浴室、機能回復訓練室等は引き続き休止します。
アカシア若者活動センター,北海道札幌市東区北22条東1丁目1-20,2020-3-2,2020-5-31,2020-6-1,アカシア若者活動センター,011-752-7959,貸室は利用人数上限を設定
東雁来公園サッカー場,北海道札幌市東区東雁来12条4丁目,-,2020-5-31,2020-6-1,札幌サッカーアミューズメントパーク,011-791-9900,
伏古川水再生プラザ内運動施設（テニスコート）,北海道札幌市東区伏古8条1丁目2-35,-,2020-5-31,2020-6-1,創成川水処理センター,011-736-6390,
サッポロさとらんど,北海道札幌市東区丘珠町584番地2,-,2020-5-31,2020-6-1,サッポロさとらんど,011-787-0223,駐車場、トイレは5月27日から利用可。貸室、炊事場、SLバス、イベントは引き続き休止。
札幌村郷土記念館,北海道札幌市東区北13条東16丁目2-6,2020-4-14,2020-6-1,2020-6-2,札幌村郷土記念館,011-782-2294,6月1日（月曜日）は通常休館日
丘珠縄文遺跡,北海道札幌市東区丘珠町574番地2他,-,2020-5-31,2020-6-1,埋蔵文化財センター,011-512-5430,展示に一部制限あり。体験メニュー、団体利用休止。
白石区体育館,北海道札幌市白石区南郷通6丁目北,2020-4-14,2020-5-31,2020-6-1,白石区体育館,011-861-4014,一般開放は、6月16日から再開予定※「利用時間割」等を施設のHPで御確認いただくか、左記の電話番号にお問い合わせの上ご利用ください。
札幌国際交流館,北海道札幌市白石区本通16丁目南4-26,2020-4-14,2020-5-31,2020-6-1,札幌国際交流館,011-866-3811,6月16日から一般開放を再開。トレーニングルーム及びプール採暖室は引き続き利用休止。その他、利用人数や利用目的に応じて制限あり。
札幌市民防災センター,北海道札幌市白石区南郷通6丁目北,2020-4-14,2020-5-31,2020-6-1,札幌市民防災センター,011-861-1211,一部の体験コーナーは休止。利用可能なコーナーについては、同時利用人数などに制限あり。
白石温水プール,北海道札幌市白石区平和通1丁目南,2020-4-14,2020-5-31,2020-6-1,白石温水プール,011-846-0004,一般開放は、6月15日から再開予定※「コース予定表」等を施設のHPで御確認いただくか、左記の電話番号にお問い合わせの上ご利用ください。
川下公園リラックスプラザ,北海道札幌市白石区川下,2020-4-14,2020-5-31,2020-6-2,川下公園,011-879-5311,温水プール・浴室は、6月16日から開放予定
札幌市産業振興センター,北海道札幌市白石区東札幌5条1丁目1番1号,2020-4-16,2020-5-31,2020-6-1,札幌市産業振興センター,011-820-3033,トレーニングルームは引き続き休止。利用人数・利用目的など一部制限あり。
白石老人福祉センター,北海道札幌市白石区栄通6丁目19-20,2020-3-2,2020-6-18,2020-6-19,白石老人福祉センター,011-851-1551,ロビー開放、生活相談事業、健康相談事業等のみ一部再開します。教養講座、サークル活動、囲碁、卓球、浴室、機能回復訓練室等は引き続き休止します。
ポプラ若者活動センター,北海道札幌市白石区東札幌2条6丁目5-1ターミナルハイツ白石3階,2020-3-2,2020-5-31,2020-6-1,ポプラ若者活動センター,011-862-8802,貸室は利用人数上限を設定
札幌コンベンションセンター,北海道札幌市白石区東札幌6条1丁目1-1,2020-4-15,2020-5-31,2020-6-1,札幌コンベンションセンター,011-817-1010,貸室の利用人数制限（1室100人以下かつ定員の50％以下）。人数上限は段階的に緩和予定。
札幌市計量検査所（定期検査センター）,北海道札幌市白石区本通7丁目南7-20,2020-4-14,2020-5-31,2020-6-1,札幌市計量検査所,011-846-6681,
札幌市共同利用館,北海道札幌市白石区本通20丁目南1-56,,2020-5-31,2020-6-1,札幌市共同利用館,011-862-1841,
札幌市青少年科学館,北海道札幌市厚別区厚別中央1条5丁目2-20,2020-4-14,2020-6-1,2020-6-2,札幌市青少年科学館,011-892-5001,6月1日は通常休業日。展示を一部休止。プラネタリウムは入場制限（50人）
厚別区体育館,北海道札幌市厚別区厚別中央2条5丁目,2020-4-14,2020-5-31,2020-6-1,厚別区体育館,011-892-0362,一般開放は、6月15日から再開※「利用時間割」等を施設のHPで御確認いただくか、左記の電話番号にお問い合わせの上ご利用ください。
厚別公園競技場（補助競技場含む）,北海道札幌市厚別区上野幌3条1丁目,2020-4-14,2020-5-31,2020-6-1,厚別公園（厚別公園競技場）,011-894-1144,主競技場は工事のため利用開始時期未定。※補助競技場は「利用時間割」等を施設のHPで御確認いただくか、左記の電話番号にお問い合わせの上ご利用ください。
札幌市リユースプラザ（厚別地区リサイクルセンター含む）,北海道札幌市厚別区厚別東3条1丁目1-10,2020-4-14,2020-5-31,2020-6-1,札幌市リユースプラザ,011-375-1133,一部資源物（古着・古布）の受入は当面の間、停止する。6月19日以降の教室・講座は、感染症対策等を講じたうえで再開する。
厚別温水プール,北海道札幌市厚別区厚別中央2条6丁目,2020-4-14,2020-5-31,2020-6-1,厚別温水プール,011-896-1861,一般開放は、6月15日から再開※「コース予定表」等を施設のHPで御確認いただくか、左記の電話番号にお問い合わせの上ご利用ください。
厚別老人福祉センター,北海道札幌市厚別区厚別中央1条7丁目17-25,2020-3-2,2020-6-18,2020-6-19,厚別老人福祉センター,011-892-2211,ロビー開放、生活相談事業、健康相談事業等のみ一部再開します。教養講座、サークル活動、囲碁、卓球、浴室、機能回復訓練室等は引き続き休止します。
札幌市エレクトロニクスセンター（会議室等）,北海道札幌市厚別区下野幌テクノパーク1丁目1-10,-,2020-5-31,2020-6-1,札幌市エレクトロニクスセンター,011-807-6000,講堂のスポーツ利用は引き続き休止。利用人数など一部制限あり。
札幌市厚別中央市民交流広場,北海道札幌市厚別区厚別中央1条5丁目,2020-4-14,2020-5-31,2020-6-1,厚別区市民部総務企画課,011-895-2419,利用人数など一部制限あり。
北海道博物館,北海道札幌市厚別区厚別町小野幌53-2,2020-4-14,2020-5-25,2020-5-26,北海道博物館,011-898-0466,※北海道の所管する施設
北海道開拓の村,北海道札幌市厚別区厚別町小野幌50-1,2020-4-14,2020-5-25,2020-5-26,北海道開拓の村,011-898-2692,※北海道の所管する施設
札幌市月寒公民館,北海道札幌市豊平区月寒中央通7丁目8-19,2020-4-14,2020-5-31,2020-6-1,月寒公民館,011-851-0482,貸室の利用人数制限（100人以下かつ定員の50％以下）。人数制限は段階的に緩和予定。
豊平区体育館（付属野球場含む）,北海道札幌市豊平区月寒東2条20丁目,2020-4-14,2020-5-31,2020-6-1,豊平区体育館,011-855-0791,一般開放は、6月15日から再開※「利用時間割」等を施設のHPで御確認いただくか、左記の電話番号にお問い合わせの上ご利用ください。
札幌ドーム,北海道札幌市豊平区羊ケ丘1番地,2020-3-1,2020-5-31,2020-6-1,札幌ドーム,011-850-1000,展望台は6月1日、屋外サッカーは6月5日、トレーニングルームは6月16日再開。その他の施設については調整中。
平岸プール,北海道札幌市豊平区平岸5条14丁目,2020-4-14,2020-5-31,2020-6-1,平岸プール,011-832-7529,一般開放は、6月15日から再開※「コース予定表」等を施設のHPで御確認いただくか、左記の電話番号にお問い合わせの上ご利用ください。
豊平公園温水プール,北海道札幌市豊平区美園6条1丁目,2020-4-14,2020-5-31,2020-6-1,豊平公園温水プール,011-813-6556,一般開放は、6月16日から再開※「コース予定表」等を施設のHPで御確認いただくか、左記の電話番号にお問い合わせの上ご利用ください。
月寒体育館,北海道札幌市豊平区月寒東1条8丁目,2020-4-14,2020-5-31,2020-6-1,月寒体育館,011-851-1972,一般開放は、6月16日から再開。リンクは、改修工事のため7/1～9/15は使用休止予定。
どうぎんカーリングスタジアム,北海道札幌市豊平区月寒東1条9丁目,2020-4-14,2020-6-30,2020-7-1,どうぎんカーリングスタジアム,011-853-4572,製氷作業等の実施のため7月1日から利用開始予定。
博物館活動センター,北海道札幌市豊平区平岸5条15丁目1-6,2020-4-14,2020-6-1,2020-6-2,博物館活動センター,011-374-5002,6月1日（月曜日）は通常休館日。展示等に一部制限あり。
豊平公園みどりのセンター,北海道札幌市豊平区豊平5条13丁目,2020-4-14,2020-6-1,2020-6-2,豊平公園,011-811-6568,6月1日（月曜日）は通常休館日
豊平老人福祉センター,北海道札幌市豊平区中の島2条3丁目8-1,2020-3-2,2020-6-18,2020-6-19,豊平老人福祉センター,011-811-5201,ロビー開放、生活相談事業、健康相談事業等のみ一部再開します。教養講座、サークル活動、囲碁、卓球、浴室、機能回復訓練室等は引き続き休止します。
豊平若者活動センター,北海道札幌市豊平区豊平8条11丁目3-5,2020-3-2,2020-5-31,2020-6-1,豊平若者活動センター,011-823-5256,貸室は利用人数上限を設定
つきさっぷ郷土資料館,北海道札幌市豊平区月寒東2条2丁目854-6430,2020-4-1,2020-6-2,2020-6-3,市民文化局文化部文化財課,011-211-2312,6月1日（月曜日）、6月2日（火曜日）は通常休館日。※4月～11月は水曜日、土曜日のみ開館
月寒屋外競技場（ラグビー場、庭球場、弓道場）,北海道札幌市豊平区月寒東1条8丁目,-,2020-5-31,2020-6-1,月寒体育館,011-851-1972,
平岸庭球場,北海道札幌市豊平区平岸5条19丁目,-,2020-5-31,2020-6-1,平岸庭球場,011-598-6807,
さっぽろ羊ヶ丘展望台,北海道札幌市豊平区羊ケ丘1番地,2020-4-14,2020-5-31,2020-6-1,さっぽろ羊ヶ丘展望台,011-851-3080,※関係団体の所管する施設
福住開拓記念館,"北海道札幌市豊平区福住1条4丁目福住まちづくりセンター併設
 福住まちづくりセンター併設",2020-4-14,2020-5-31,2020-6-1,福住まちづくりセンター,011-851-6414,
さっぽろ天神山アートスタジオ,北海道札幌市豊平区平岸2条17丁目1番80号,2020-4-14,2020-6-1,2020-6-2,さっぽろ天神山アートスタジオ,011-820-2140,6月1日（月曜日）は通常休館日。利用人数に一部制限あり。滞在スタジオは再開時期未定。
道立総合体育センター（きたえーる）,北海道札幌市豊平区豊平5条11丁目1-1,2020-4-14,2020-6-1,2020-6-2,道立総合体育センター（きたえーる）,011-820-1703,※北海道の所管する施設　6月1日は通常休館日。トレーニング室は準備中
清田区体育館・温水プール,北海道札幌市清田区平岡1条5丁目,2020-4-14,2020-5-31,2020-6-1,清田区体育館・温水プール,011-882-9500,改修工事のため令和2年6月15日～令和3年3月末は休館
清田老人福祉センター,北海道札幌市清田区清田3条3丁目1-30,2020-3-2,未定,-,清田老人福祉センター,011-885-8500,ロビー開放、生活相談事業、健康相談事業等のみ一部再開します。教養講座、サークル活動、囲碁、卓球、浴室、機能回復訓練室等は引き続き休止します。
白旗山競技場,北海道札幌市清田区真栄502番1,-,2020-6-15,2020-6-16,白旗山競技場,011-884-9355,
平岡樹芸センター　管理事務所,北海道札幌市清田区平岡4条3丁目,-,2020-6-1,2020-6-2,平岡樹芸センター,011-883-2891,6月1日は通常休館日
清田中央・みどりパークゴルフ場,北海道札幌市清田区清田346-1,-,2020-5-31,2020-6-1,清田区総務企画課,011-889-2006,利用人数など一部制限あり。
札幌市清田市民交流広場,北海道札幌市清田区平岡1条1丁目,2020-4-14,2020-5-31,2020-6-1,清田区総務企画課,011-889-2006,利用人数など一部制限あり。
札幌芸術の森（屋内）,北海道札幌市南区芸術の森2丁目75番,-,2020-5-31,2020-6-1,市民文化局文化振興課（011-211-2261）,芸術の森（011-592-5111）、美術館、佐藤忠良記念子どもアトリエ（011-591-0090） 、各工房（陶工房、木工房、版画工房、染工房、織工房）・クラフト工房（011-592-4122）、アートホール、アトリエ・ロッジ（011-592-4123）,
札幌芸術の森（野外）,北海道札幌市南区芸術の森2丁目75番,-,2020-5-25,2020-5-26,市民文化局文化振興課（011-211-2261）,芸術の森（011-592-5111）、美術館、佐藤忠良記念子どもアトリエ（011-591-0090） 、各工房（陶工房、木工房、版画工房、染工房、織工房）・クラフト工房（011-592-4122）、アートホール、アトリエ・ロッジ（011-592-4123）,
札幌芸術の森・子どもアトリエ・工芸館・有島武郎旧邸,北海道札幌市南区芸術の森2丁目75番,,2020-5-31,2020-6-1,,クラフト工房（各工房、工芸館）011-592-4122、芸術の森（その他の施設）011-592-5111,入場者数などに一部制限あり
札幌芸術の森・アートホール・野外ステージ・アトリエロッジ,北海道札幌市南区芸術の森2丁目75番,,2020-5-31,2020-6-1,,芸術の森（その他の施設）011-592-5111,（貸館）新規利用申込の受付は6月9日再開予定。利用人数など一部制限あり。
札幌芸術の森・貸工房等,北海道札幌市南区芸術の森2丁目75番,,2020-6-21,2020-6-22,,芸術の森（その他の施設）011-592-5111,施設の利用受付は6月15日から。施設の利用は6月22日から順次再開予定。
南区体育館,北海道札幌市南区川沿4条2丁目,2020-4-14,2020-5-31,2020-6-1,南区体育館,011-571-5171,一般開放は、6月15日から再開※「利用時間割」等を施設のHPで御確認いただくか、左記の電話番号にお問い合わせの上ご利用ください。
札幌市青少年山の家,北海道札幌市南区滝野247番地（滝野すずらん丘陵公園）,2020-3-1,未定,-,市青少年山の家,011-591-0303,宿泊を伴う施設のため、利用再開を検討中。5月28日公園内に熊の侵入を確認。休館を当面継続。
札幌市定山渓自然の村,北海道札幌市南区定山渓（豊平峡ダム下流国有林野）,2020-4-14,2020-5-31,2020-6-1,定山渓自然の村,011-598-3100,コテージやテントの一部利用を制限。
北方自然教育園,北海道札幌市南区白川1814番地,2020-4-14,2020-6-1,2020-6-2,北方自然教育園,011-596-3567,6月1日は通常休館日。一部事業の人数制限。
